"anio","ambito_geografico","sexo","banda_dashboard","edad_inicio","edad_fin","categoria_sanitaria","estado_dato","metodologia","gasto_per_capita_ponderado_euros_2022","anos_persona_esperados","gasto_vital_esperado_banda_euros_2022","porcentaje_sobre_gasto_vital_esperado"
"2022","Espana","Ambos sexos","0-14","0","14","Total sanidad","estimado","Agregacion de tramos quinquenales AIReF 2022 ponderados por anos-persona de la tabla de mortalidad INE 2022","1824.46","14.949719","27275.16","15.7808"
"2022","Espana","Ambos sexos","15-24","15","24","Total sanidad","estimado","Agregacion de tramos quinquenales AIReF 2022 ponderados por anos-persona de la tabla de mortalidad INE 2022","1283.62","9.949148","12770.92","7.389"
"2022","Espana","Ambos sexos","25-44","25","44","Total sanidad","estimado","Agregacion de tramos quinquenales AIReF 2022 ponderados por anos-persona de la tabla de mortalidad INE 2022","1649.71","19.79091","32649.32","18.8902"
"2022","Espana","Ambos sexos","45-64","45","64","Total sanidad","estimado","Agregacion de tramos quinquenales AIReF 2022 ponderados por anos-persona de la tabla de mortalidad INE 2022","2062.13","19.162224","39514.97","22.8625"
"2022","Espana","Ambos sexos","65-74","65","74","Total sanidad","estimado","Agregacion de tramos quinquenales AIReF 2022 ponderados por anos-persona de la tabla de mortalidad INE 2022","2837.93","8.609025","24431.83","14.1357"
"2022","Espana","Ambos sexos","75-84","75","84","Total sanidad","estimado","Agregacion de tramos quinquenales AIReF 2022 ponderados por anos-persona de la tabla de mortalidad INE 2022","3366.71","6.8848","23179.1","13.4109"
"2022","Espana","Ambos sexos","85+","85","100","Total sanidad","estimado","Agregacion de tramos quinquenales AIReF 2022 ponderados por anos-persona de la tabla de mortalidad INE 2022","3900.8","3.336881","13016.49","7.531"
"2022","Espana","Hombres","0-14","0","14","Total sanidad","estimado","Agregacion de tramos quinquenales AIReF 2022 ponderados por anos-persona de la tabla de mortalidad INE 2022","1918.6","14.943449","28670.52","18.1168"
"2022","Espana","Hombres","15-24","15","24","Total sanidad","estimado","Agregacion de tramos quinquenales AIReF 2022 ponderados por anos-persona de la tabla de mortalidad INE 2022","1120.34","9.940435","11136.65","7.0372"
"2022","Espana","Hombres","25-44","25","44","Total sanidad","estimado","Agregacion de tramos quinquenales AIReF 2022 ponderados por anos-persona de la tabla de mortalidad INE 2022","1257.79","19.735063","24822.63","15.6853"
"2022","Espana","Hombres","45-64","45","64","Total sanidad","estimado","Agregacion de tramos quinquenales AIReF 2022 ponderados por anos-persona de la tabla de mortalidad INE 2022","1948.94","18.916961","36868.06","23.2968"
"2022","Espana","Hombres","65-74","65","74","Total sanidad","estimado","Agregacion de tramos quinquenales AIReF 2022 ponderados por anos-persona de la tabla de mortalidad INE 2022","2929.18","8.154784","23886.86","15.094"
"2022","Espana","Hombres","75-84","75","84","Total sanidad","estimado","Agregacion de tramos quinquenales AIReF 2022 ponderados por anos-persona de la tabla de mortalidad INE 2022","3654.65","6.011494","21969.89","13.8827"
"2022","Espana","Hombres","85+","85","100","Total sanidad","estimado","Agregacion de tramos quinquenales AIReF 2022 ponderados por anos-persona de la tabla de mortalidad INE 2022","4452.98","2.44766","10899.37","6.8873"
"2022","Espana","Mujeres","0-14","0","14","Total sanidad","estimado","Agregacion de tramos quinquenales AIReF 2022 ponderados por anos-persona de la tabla de mortalidad INE 2022","1724.79","14.956382","25796.6","13.7476"
"2022","Espana","Mujeres","15-24","15","24","Total sanidad","estimado","Agregacion de tramos quinquenales AIReF 2022 ponderados por anos-persona de la tabla de mortalidad INE 2022","1457.23","9.95842","14511.68","7.7336"
"2022","Espana","Mujeres","25-44","25","44","Total sanidad","estimado","Agregacion de tramos quinquenales AIReF 2022 ponderados por anos-persona de la tabla de mortalidad INE 2022","2046.87","19.849094","40628.53","21.6519"
"2022","Espana","Mujeres","45-64","45","64","Total sanidad","estimado","Agregacion de tramos quinquenales AIReF 2022 ponderados por anos-persona de la tabla de mortalidad INE 2022","2174.94","19.411733","42219.31","22.4997"
"2022","Espana","Mujeres","65-74","65","74","Total sanidad","estimado","Agregacion de tramos quinquenales AIReF 2022 ponderados por anos-persona de la tabla de mortalidad INE 2022","2757.29","9.061133","24984.18","13.3147"
"2022","Espana","Mujeres","75-84","75","84","Total sanidad","estimado","Agregacion de tramos quinquenales AIReF 2022 ponderados por anos-persona de la tabla de mortalidad INE 2022","3150.42","7.744247","24397.6","13.0021"
"2022","Espana","Mujeres","85+","85","100","Total sanidad","estimado","Agregacion de tramos quinquenales AIReF 2022 ponderados por anos-persona de la tabla de mortalidad INE 2022","3607.99","4.186822","15106","8.0504"
