"anio","ambito_geografico","sexo","categoria_id","categoria_sanitaria","banda_dashboard","edad_inicio","edad_fin","estado_dato","gasto_vital_esperado_categoria_banda_euros_2022","porcentaje_sobre_categoria","total_categoria_euros_2022","porcentaje_categoria_sobre_total","fuente_gasto_total_edad","fuente_supervivencia","fuente_pesos_categoria","fuente_perfil_edad_categoria","metodologia","limitaciones"
"2022","Espana","Ambos sexos","atencion_primaria","Atencion primaria","0-14","0","14","estimado","6288.3092","23.8743","26339.2346","15.1216","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Ministerio de Sanidad - Estadistica de Gasto Sanitario Publico, Principales resultados 2022","Ministerio de Sanidad - Informe del Grupo de Trabajo de Analisis del Gasto Sanitario 2005","Estimacion propia: total por edad AIReF 2022 x anos-persona INE 2022; reparto por categoria mediante pesos EGSP 2022 y perfiles relativos por edad del IGTGS 2005.","No es un cruce oficial categoria sanitaria x edad. Urgencias y salud mental no se separan porque no se ha localizado fuente institucional compatible."
"2022","Espana","Ambos sexos","atencion_primaria","Atencion primaria","15-24","15","24","estimado","2411.7432","9.1565","26339.2346","15.1216","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Ministerio de Sanidad - Estadistica de Gasto Sanitario Publico, Principales resultados 2022","Ministerio de Sanidad - Informe del Grupo de Trabajo de Analisis del Gasto Sanitario 2005","Estimacion propia: total por edad AIReF 2022 x anos-persona INE 2022; reparto por categoria mediante pesos EGSP 2022 y perfiles relativos por edad del IGTGS 2005.","No es un cruce oficial categoria sanitaria x edad. Urgencias y salud mental no se separan porque no se ha localizado fuente institucional compatible."
"2022","Espana","Ambos sexos","atencion_primaria","Atencion primaria","25-44","25","44","estimado","6165.7089","23.4088","26339.2346","15.1216","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Ministerio de Sanidad - Estadistica de Gasto Sanitario Publico, Principales resultados 2022","Ministerio de Sanidad - Informe del Grupo de Trabajo de Analisis del Gasto Sanitario 2005","Estimacion propia: total por edad AIReF 2022 x anos-persona INE 2022; reparto por categoria mediante pesos EGSP 2022 y perfiles relativos por edad del IGTGS 2005.","No es un cruce oficial categoria sanitaria x edad. Urgencias y salud mental no se separan porque no se ha localizado fuente institucional compatible."
"2022","Espana","Ambos sexos","atencion_primaria","Atencion primaria","45-64","45","64","estimado","6125.3461","23.2556","26339.2346","15.1216","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Ministerio de Sanidad - Estadistica de Gasto Sanitario Publico, Principales resultados 2022","Ministerio de Sanidad - Informe del Grupo de Trabajo de Analisis del Gasto Sanitario 2005","Estimacion propia: total por edad AIReF 2022 x anos-persona INE 2022; reparto por categoria mediante pesos EGSP 2022 y perfiles relativos por edad del IGTGS 2005.","No es un cruce oficial categoria sanitaria x edad. Urgencias y salud mental no se separan porque no se ha localizado fuente institucional compatible."
"2022","Espana","Ambos sexos","atencion_primaria","Atencion primaria","65-74","65","74","estimado","2556.0929","9.7045","26339.2346","15.1216","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Ministerio de Sanidad - Estadistica de Gasto Sanitario Publico, Principales resultados 2022","Ministerio de Sanidad - Informe del Grupo de Trabajo de Analisis del Gasto Sanitario 2005","Estimacion propia: total por edad AIReF 2022 x anos-persona INE 2022; reparto por categoria mediante pesos EGSP 2022 y perfiles relativos por edad del IGTGS 2005.","No es un cruce oficial categoria sanitaria x edad. Urgencias y salud mental no se separan porque no se ha localizado fuente institucional compatible."
"2022","Espana","Ambos sexos","atencion_primaria","Atencion primaria","75-84","75","84","estimado","1723.8958","6.545","26339.2346","15.1216","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Ministerio de Sanidad - Estadistica de Gasto Sanitario Publico, Principales resultados 2022","Ministerio de Sanidad - Informe del Grupo de Trabajo de Analisis del Gasto Sanitario 2005","Estimacion propia: total por edad AIReF 2022 x anos-persona INE 2022; reparto por categoria mediante pesos EGSP 2022 y perfiles relativos por edad del IGTGS 2005.","No es un cruce oficial categoria sanitaria x edad. Urgencias y salud mental no se separan porque no se ha localizado fuente institucional compatible."
"2022","Espana","Ambos sexos","atencion_primaria","Atencion primaria","85+","85","100","estimado","1068.1385","4.0553","26339.2346","15.1216","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Ministerio de Sanidad - Estadistica de Gasto Sanitario Publico, Principales resultados 2022","Ministerio de Sanidad - Informe del Grupo de Trabajo de Analisis del Gasto Sanitario 2005","Estimacion propia: total por edad AIReF 2022 x anos-persona INE 2022; reparto por categoria mediante pesos EGSP 2022 y perfiles relativos por edad del IGTGS 2005.","No es un cruce oficial categoria sanitaria x edad. Urgencias y salud mental no se separan porque no se ha localizado fuente institucional compatible."
"2022","Espana","Ambos sexos","farmacia","Farmacia","0-14","0","14","estimado","1147.8972","4.9022","23416.0932","13.4434","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Ministerio de Sanidad - Estadistica de Gasto Sanitario Publico, Principales resultados 2022","Ministerio de Sanidad - Informe del Grupo de Trabajo de Analisis del Gasto Sanitario 2005","Estimacion propia: total por edad AIReF 2022 x anos-persona INE 2022; reparto por categoria mediante pesos EGSP 2022 y perfiles relativos por edad del IGTGS 2005.","No es un cruce oficial categoria sanitaria x edad. Urgencias y salud mental no se separan porque no se ha localizado fuente institucional compatible."
"2022","Espana","Ambos sexos","farmacia","Farmacia","15-24","15","24","estimado","834.4106","3.5634","23416.0932","13.4434","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Ministerio de Sanidad - Estadistica de Gasto Sanitario Publico, Principales resultados 2022","Ministerio de Sanidad - Informe del Grupo de Trabajo de Analisis del Gasto Sanitario 2005","Estimacion propia: total por edad AIReF 2022 x anos-persona INE 2022; reparto por categoria mediante pesos EGSP 2022 y perfiles relativos por edad del IGTGS 2005.","No es un cruce oficial categoria sanitaria x edad. Urgencias y salud mental no se separan porque no se ha localizado fuente institucional compatible."
"2022","Espana","Ambos sexos","farmacia","Farmacia","25-44","25","44","estimado","2133.2012","9.11","23416.0932","13.4434","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Ministerio de Sanidad - Estadistica de Gasto Sanitario Publico, Principales resultados 2022","Ministerio de Sanidad - Informe del Grupo de Trabajo de Analisis del Gasto Sanitario 2005","Estimacion propia: total por edad AIReF 2022 x anos-persona INE 2022; reparto por categoria mediante pesos EGSP 2022 y perfiles relativos por edad del IGTGS 2005.","No es un cruce oficial categoria sanitaria x edad. Urgencias y salud mental no se separan porque no se ha localizado fuente institucional compatible."
